type,properties.bsm_bussto,properties.bsm_chines,geometry.type,geometry.coordinates,經度,緯度,地址,市,行政區域
Feature,15102.0,松山車站,Point,"121.57883806460475, 25.050014868262345",121.57883806460475,25.050014868262345,台灣台北市松山區八德路四段758號,台北市,松山區
Feature,15104.0,松山車站,Point,"121.57723262711768, 25.050092714312033",121.5772326271177,25.050092714312033,台灣台北市松山區松山車站(八德),台北市,松山區
Feature,2093.0,松山車站(松山),Point,"121.5775941008491, 25.047159526351784",121.5775941008491,25.047159526351784,台灣台北市信義區松山路140號,台北市,信義區
Feature,15113.0,松山車站(松山),Point,"121.57793, 25.0472",121.57793000000001,25.0472,台灣台北市信義區松山車站(松山),台北市,信義區
Feature,2092.0,松山車站(松隆),Point,"121.57857387780871, 25.048172367816726",121.57857387780872,25.04817236781673,台灣台北市信義區松隆路346號,台北市,信義區
Feature,15111.0,松山高中(松隆),Point,"121.56722571142868, 25.04337830264686",121.56722571142868,25.04337830264686,台灣台北市信義區松隆路28號,台北市,信義區
Feature,2094.0,松山高中(松隆),Point,"121.56756, 25.04384",121.56756000000001,25.04384,台灣台北市信義區松山高中(松隆),台北市,信義區
Feature,15119.0,松山高中(基隆路),Point,"121.56648166136998, 25.044234860061966",121.56648166136999,25.04423486006197,台灣台北市信義區松山高中(基隆路),台北市,信義區
Feature,2095.0,松山高中(基隆路),Point,"121.56604029546969, 25.04426376333419",121.56604029546969,25.044263763334193,台灣台北市信義區基隆路一段152號,台北市,信義區
Feature,1000667.0,松山商職(松山),Point,"121.57833948478998, 25.036608422894034",121.57833948478998,25.036608422894034,台灣台北市信義區松山路594號,台北市,信義區
Feature,15118.0,松山商職(松山),Point,"121.57860900859998, 25.036029720775037",121.57860900859998,25.036029720775037,台灣台北市信義區松山路639號,台北市,信義區
Feature,2098.0,松山商職(信義),Point,"121.57777332505995, 25.035968852470006",121.57777332505995,25.035968852470013,台灣台北市信義區松山商職(信義),台北市,信義區
Feature,2096.0,松山商職(福德),Point,"121.57875183679995, 25.036237486852976",121.57875183679995,25.036237486852976,台灣台北市信義區松山商職(福德),台北市,信義區
Feature,2097.0,松山商職(福德),Point,"121.57880899131763, 25.036367165910203",121.57880899131763,25.0363671659102,台灣台北市信義區福德街6號,台北市,信義區
Feature,1533.0,松山新城,Point,"121.55556, 25.05562",121.55556000000001,25.05562,台灣台北市松山區松山新城,台北市,松山區
Feature,60138.0,松山新城,Point,"121.55584265277999, 25.055271858547947",121.55584265278,25.05527185854795,台灣台北市松山區光復北路155號,台北市,松山區
Feature,16001.0,松山農會,Point,"121.57386824853688, 25.050085674791035",121.57386824853687,25.050085674791035,台灣台北市松山區八德路四段577號,台北市,松山區
Feature,1534.0,松山農會,Point,"121.57415344741254, 25.049827486334667",121.57415344741254,25.04982748633467,台灣台北市松山區八德路四段626號,台北市,松山區
Feature,20307.0,松山橋頭,Point,"121.58001, 25.05149",121.58001000000002,25.05149,台灣台北市南港區八德路四段847號,台北市,南港區
Feature,1536.0,松山機場,Point,"121.5523, 25.06333",121.5523,25.06333,台灣台北市松山區敦化北路338號捷運松山機場站,台北市,松山區
Feature,1537.0,松山機場(一),Point,"121.55151422816999, 25.063302148265972",121.55151422816999,25.06330214826597,台灣台北市松山區松山機場,台北市,松山區
