鄉鎮市區,土地移轉總坪數,都市土地使用分區,總樓層數,主要用途,主要建材,建物移轉總坪數,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,每坪單價,車位類別,車位移轉總坪數,土地,建物,車位,轉移樓層,建物類型,Area,EightCount,ParkCount,FuneralCount,GasCount,CrimeCount,PoliceCount,busCount,subwayCount,govCount,clinicCount,hospitalCount,pharmacyCount,fireareaCount,firewayCount,土地面積,總人口數,男性人數,女性人數,人口密度,每戶人數,每戶成年人數,所得收入總計,可支配所得,消費支出,儲蓄,所得總額
中正區,2.7981251049296914,商,15,見其他登記事項,鋼筋混凝土造,40.06915150259318,3,2,2,有,無,1010753.6811050001,升降機械,0.0,1,1,1,3,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,3.52715013226813,商,15,見其他登記事項,鋼筋混凝土造,50.02745187602944,3,2,2,有,無,1105193.346985,升降機械,0.0,1,1,1,7,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,2.668050100051879,商,15,見其他登記事項,鋼筋混凝土造,36.38772636453974,1,1,1,有,無,1106142.10728,升降機械,0.0,1,1,0,12,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,3.557400133402505,商,15,見其他登記事項,鋼筋混凝土造,50.390451889641945,3,2,2,有,無,1037497.4817550001,升降機械,0.0,1,1,1,2,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,2.686200100732504,商,15,見其他登記事項,鋼筋混凝土造,38.58992644712224,3,2,2,有,無,1101064.42152,升降機械,0.0,1,1,1,14,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,3.4908501309068796,商,15,見其他登記事項,鋼筋混凝土造,49.54950185810632,3,2,2,有,無,1021199.961705,升降機械,0.0,1,1,1,3,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,2.686200100732504,商,15,見其他登記事項,鋼筋混凝土造,38.508251444059425,3,2,2,有,無,971219.7982900001,升降機械,0.0,1,1,1,3,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,2.686200100732504,商,15,見其他登記事項,鋼筋混凝土造,38.508251444059425,3,2,2,有,無,1007576.82172,升降機械,0.0,1,1,1,5,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,3.433375128751567,商,15,見其他登記事項,鋼筋混凝土造,48.91727683439788,3,2,2,有,無,1175454.501375,升降機械,0.0,1,1,1,15,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,3.487825130793442,商,15,見其他登記事項,鋼筋混凝土造,49.51925185697194,3,2,2,有,無,1080386.736345,升降機械,0.0,1,1,1,9,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,3.52715013226813,商,15,見其他登記事項,鋼筋混凝土造,50.00930187534882,3,2,2,有,無,1089798.30624,升降機械,0.0,1,1,1,9,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,2.7981251049296914,商,15,見其他登記事項,鋼筋混凝土造,40.11755150440818,3,2,2,有,無,1134168.55251,升降機械,0.0,1,1,1,14,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,2.686200100732504,商,15,見其他登記事項,鋼筋混凝土造,38.4901014433788,3,2,2,有,無,1031434.672065,升降機械,0.0,1,1,1,8,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,2.7981251049296914,商,15,見其他登記事項,鋼筋混凝土造,40.05705150213942,3,2,2,有,無,1045507.39881,升降機械,0.0,1,1,1,8,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,2.7981251049296914,商,15,見其他登記事項,鋼筋混凝土造,40.06915150259318,3,2,2,有,無,1087619.7939250001,升降機械,0.0,1,1,1,9,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,3.0219751133240664,商,15,見其他登記事項,鋼筋混凝土造,42.979201611720065,2,1,1,有,無,1108211.52869,升降機械,0.0,1,1,1,12,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,2.686200100732504,商,15,見其他登記事項,鋼筋混凝土造,38.499176443719115,3,2,2,有,無,958720.625205,升降機械,0.0,1,1,1,2,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,3.487825130793442,商,15,見其他登記事項,鋼筋混凝土造,49.52832685731225,3,2,2,有,無,1051923.927495,升降機械,0.0,1,1,1,5,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,2.7981251049296914,商,15,見其他登記事項,鋼筋混凝土造,40.06915150259318,3,2,2,有,無,1042446.2419,升降機械,0.0,1,1,1,7,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
