鄉鎮市區,土地移轉總面積平方公尺,都市土地使用分區,交易年月日,總樓層數,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,土地,建物,車位,轉移樓層,建物類型
中正區,16.9,住,1030604,10,住家用,鋼筋混凝土造,83.41,1,1,1,有,無,23000000,275746,0,0.0,0,1,1,0,2,華廈
中正區,17.04,住,1030528,10,住家用,鋼筋混凝土造,127.78,1,1,1,有,無,26770000,287376,坡道平面,44.37,2800000,1,1,1,3,華廈
中正區,17.04,住,1030530,10,住家用,鋼筋混凝土造,127.78,1,1,1,有,無,26800000,287735,坡道平面,44.37,2800000,1,1,1,4,華廈
中正區,17.04,住,1030530,10,住家用,鋼筋混凝土造,127.79,1,1,1,有,無,26520000,289174,坡道機械,44.38,2400000,1,1,1,5,華廈
中正區,17.04,住,1030409,10,住家用,鋼筋混凝土造,127.79,1,1,1,有,無,27080000,295852,坡道平面,44.37,2400000,1,1,1,6,華廈
中正區,17.04,住,1030318,10,住家用,鋼筋混凝土造,127.78,1,1,1,有,無,27530000,296487,坡道平面,44.37,2800000,1,1,1,7,華廈
中山區,61.4,住,1031018,10,住家用,鋼筋混凝土造,268.94,3,2,2,有,無,105880000,448939,坡道機械,40.0,3100000,2,1,2,2,華廈
中山區,61.43,住,1031003,10,住家用,鋼筋混凝土造,269.08,3,2,2,有,無,107100000,453990,坡道機械,40.0,3100000,2,1,2,3,華廈
中山區,62.9,住,1031030,10,住家用,鋼筋混凝土造,312.38,2,2,2,有,無,113300000,460022,坡道平面,80.0,6400000,2,1,2,5,華廈
中山區,64.77,住,1031120,10,住家用,鋼筋混凝土造,319.41,3,2,2,有,無,118800000,470323,坡道平面,80.0,6200000,2,1,2,6,華廈
中山區,62.16,住,1031005,10,住家用,鋼筋混凝土造,309.61,3,2,2,有,無,111000000,457297,坡道平面,80.0,6000000,2,1,2,5,華廈
中山區,64.98,住,1040305,10,住家用,鋼筋混凝土造,320.21,3,2,2,有,無,118680000,466592,坡道平面,80.0,6600000,2,1,2,6,華廈
中山區,61.11,住,1040402,10,住家用,鋼筋混凝土造,267.83,3,2,2,有,無,113500000,483694,坡道平面,40.0,3300000,2,1,1,8,華廈
中正區,8.88,商,1050604,15,見其他登記事項,鋼筋混凝土造,127.0,3,2,2,有,無,40800000,321260,升降機械,0.0,2100000,1,1,1,12,住宅大樓
中正區,9.25,商,1021119,15,見其他登記事項,鋼筋混凝土造,132.46,3,2,2,有,無,40500000,305753,升降機械,0.0,2000000,1,1,1,3,住宅大樓
中正區,11.66,商,1030611,15,見其他登記事項,鋼筋混凝土造,165.38,3,2,2,有,無,55290000,334321,升降機械,0.0,2300000,1,1,1,7,住宅大樓
中正區,8.82,商,1040724,15,見其他登記事項,鋼筋混凝土造,120.29,1,1,1,有,無,40250000,334608,升降機械,0.0,0,1,1,0,12,住宅大樓
中正區,11.76,商,1021117,15,見其他登記事項,鋼筋混凝土造,166.58,3,2,2,有,無,52280000,313843,升降機械,0.0,2300000,1,1,1,2,住宅大樓
中正區,8.88,商,1021113,15,見其他登記事項,鋼筋混凝土造,127.57,3,2,2,有,無,42490000,333072,升降機械,0.0,2000000,1,1,1,14,住宅大樓
中正區,11.54,商,1030110,15,見其他登記事項,鋼筋混凝土造,163.8,3,2,2,有,無,50600000,308913,升降機械,0.0,2300000,1,1,1,3,住宅大樓
中正區,8.88,商,1021112,15,見其他登記事項,鋼筋混凝土造,127.3,3,2,2,有,無,37400000,293794,升降機械,0.0,2100000,1,1,1,3,住宅大樓
中正區,8.88,商,1021219,15,見其他登記事項,鋼筋混凝土造,127.3,3,2,2,有,無,38800000,304792,升降機械,0.0,2100000,1,1,1,5,住宅大樓
中正區,11.35,商,1021117,15,見其他登記事項,鋼筋混凝土造,161.71,3,2,2,有,無,57500000,355575,升降機械,0.0,2300000,1,1,1,15,住宅大樓
中正區,11.53,商,1021228,15,見其他登記事項,鋼筋混凝土造,163.7,3,2,2,有,無,53500000,326817,升降機械,0.0,2300000,1,1,1,9,住宅大樓
中正區,11.66,商,1030113,15,見其他登記事項,鋼筋混凝土造,165.32,3,2,2,有,無,54500000,329664,升降機械,0.0,2300000,1,1,1,9,住宅大樓
中正區,9.25,商,1021216,15,見其他登記事項,鋼筋混凝土造,132.62,3,2,2,有,無,45500000,343086,升降機械,0.0,2300000,1,1,1,14,住宅大樓
中正區,8.88,商,1021115,15,見其他登記事項,鋼筋混凝土造,127.24,3,2,2,有,無,39700000,312009,升降機械,0.0,2100000,1,1,1,8,住宅大樓
中正區,9.25,商,1021210,15,見其他登記事項,鋼筋混凝土造,132.42,3,2,2,有,無,41880000,316266,升降機械,0.0,2100000,1,1,1,8,住宅大樓
中正區,9.25,商,1021119,15,見其他登記事項,鋼筋混凝土造,132.46,3,2,2,有,無,43580000,329005,升降機械,0.0,2300000,1,1,1,9,住宅大樓
中正區,9.99,商,1040724,15,見其他登記事項,鋼筋混凝土造,142.08,2,1,1,有,無,47630000,335234,升降機械,0.0,2000000,1,1,1,12,住宅大樓
中正區,8.88,商,1021117,15,見其他登記事項,鋼筋混凝土造,127.27,3,2,2,有,無,36910000,290013,升降機械,0.0,2100000,1,1,1,2,住宅大樓
中正區,11.53,商,1021115,15,見其他登記事項,鋼筋混凝土造,163.73,3,2,2,有,無,52100000,318207,升降機械,0.0,2300000,1,1,1,5,住宅大樓
中正區,9.25,商,1021113,15,見其他登記事項,鋼筋混凝土造,132.46,3,2,2,有,無,41770000,315340,升降機械,0.0,2100000,1,1,1,7,住宅大樓
中正區,11.66,商,1021112,15,見其他登記事項,鋼筋混凝土造,165.38,3,2,2,有,無,52400000,316846,升降機械,0.0,2300000,1,1,1,3,住宅大樓
中正區,11.66,商,1021115,15,見其他登記事項,鋼筋混凝土造,165.32,3,2,2,有,無,53680000,324704,升降機械,0.0,2300000,1,1,1,5,住宅大樓
中正區,11.54,商,1021112,15,見其他登記事項,鋼筋混凝土造,163.76,3,2,2,有,無,53520000,326820,升降機械,0.0,2300000,1,1,1,7,住宅大樓
中正區,9.25,商,1021117,15,見其他登記事項,鋼筋混凝土造,132.03,3,2,2,有,無,43210000,327274,升降機械,0.0,2300000,1,1,1,12,住宅大樓
中正區,9.25,商,1021117,15,見其他登記事項,鋼筋混凝土造,132.42,3,2,2,有,無,38750000,292630,升降機械,0.0,2100000,1,1,1,2,住宅大樓
中正區,11.62,商,1021111,15,見其他登記事項,鋼筋混凝土造,164.95,3,2,2,有,無,51000000,309185,升降機械,0.0,2300000,1,1,1,2,住宅大樓
中正區,13.85,商,1040810,15,見其他登記事項,鋼筋混凝土造,195.57,3,2,2,有,無,68810000,351843,升降機械,0.0,2300000,1,1,1,14,住宅大樓
中正區,9.25,商,1021121,15,見其他登記事項,鋼筋混凝土造,132.33,3,2,2,有,無,44380000,335374,升降機械,0.0,2300000,1,1,1,13,住宅大樓
中正區,8.88,商,1021120,15,見其他登記事項,鋼筋混凝土造,127.3,3,2,2,有,無,39350000,309112,升降機械,0.0,2100000,1,1,1,7,住宅大樓
大同區,7.49,商,1030409,13,住家用,鋼筋混凝土造,76.44,2,1,1,有,無,15400000,201465,0,0.0,0,1,1,0,6,住宅大樓
中正區,14.99,住,1020629,10,住家用,鋼筋混凝土造,112.02,2,2,1,有,無,26820000,282676,其他,24.57,2100000,1,1,1,3,華廈
中正區,14.99,住,1020409,10,住家用,鋼筋混凝土造,112.02,2,2,1,有,無,26500000,279017,其他,24.57,2100000,1,1,1,4,華廈
中正區,14.99,住,1020625,10,住家用,鋼筋混凝土造,112.02,2,2,1,有,無,27320000,288393,其他,24.57,2100000,1,1,1,5,華廈
中正區,14.99,住,1020222,10,住家用,鋼筋混凝土造,112.02,2,2,1,有,無,27680000,292510,其他,24.57,2100000,1,1,1,6,華廈
中正區,15.02,住,1020603,10,住家用,鋼筋混凝土造,136.59,2,2,1,有,無,29500000,296169,其他,49.14,3600000,1,1,2,7,華廈
中正區,14.99,住,1020615,10,住家用,鋼筋混凝土造,112.02,2,2,1,有,無,27980000,295941,其他,24.57,2100000,1,1,1,8,華廈
中正區,19.31,住,1020609,10,住家用,鋼筋混凝土造,136.84,2,2,1,有,無,36100000,302841,其他,24.57,2100000,1,1,1,9,華廈
中正區,15.08,住,1020219,10,住家用,鋼筋混凝土造,111.66,2,2,1,有,無,29000000,308876,其他,24.57,2100000,1,1,1,10,華廈
中正區,11.3,住,1020321,10,住家用,鋼筋混凝土造,90.36,2,2,1,有,無,20000000,281198,其他,24.57,1500000,1,1,1,2,華廈
中正區,11.3,住,1020629,10,住家用,鋼筋混凝土造,90.36,2,2,1,有,無,20950000,286518,其他,24.57,2100000,1,1,1,3,華廈
中正區,11.3,住,1020409,10,住家用,鋼筋混凝土造,90.36,2,2,1,有,無,20380000,277854,其他,24.57,2100000,1,1,1,4,華廈
中正區,11.3,住,1020410,10,住家用,鋼筋混凝土造,90.36,2,2,1,有,無,21180000,290014,其他,24.57,2100000,1,1,1,5,華廈
中正區,11.3,住,1020610,10,住家用,鋼筋混凝土造,90.36,2,2,1,有,無,21350000,292598,其他,24.57,2100000,1,1,1,6,華廈
中正區,11.34,住,1020604,10,住家用,鋼筋混凝土造,114.93,2,2,1,有,無,23300000,299438,其他,49.14,3600000,1,1,2,7,華廈
中正區,11.3,住,1020615,10,住家用,鋼筋混凝土造,90.36,2,2,1,有,無,21650000,297158,其他,24.57,2100000,1,1,1,8,華廈
中正區,13.95,住,1021016,10,住家用,鋼筋混凝土造,104.03,2,2,1,有,無,24000000,275610,其他,24.57,2100000,1,1,1,2,華廈
