type,properties.bsm_bussto,properties.bsm_chines,geometry.type,geometry.coordinates,經度,緯度
Feature,15090.0,大同新村,Point,"121.46775, 25.07479",121.46775, 25.07479
Feature,3643.0,大同新村,Point,"121.4679, 25.07479",121.4679, 25.07479
Feature,3256.0,大同路,Point,"121.37573457671998, 24.927722706640978",121.37573457671998, 24.927722706640978
Feature,20421.0,大同路,Point,"121.37570874337997, 24.927535134971013",121.37570874337997, 24.927535134971013
Feature,1000149.0,大同路口,Point,"121.49420247319236, 25.06149922890792",121.49420247319236, 25.06149922890792
Feature,3387.0,大同路口,Point,"121.4949020182705, 25.061398401331545",121.4949020182705, 25.061398401331545
Feature,7686.0,大汐止百貨,Point,"121.63256647353997, 25.06618341827401",121.63256647353997, 25.06618341827401
Feature,2720.0,大汐止百貨,Point,"121.63280862104999, 25.066236458270996",121.63280862104999, 25.066236458270996
Feature,3781.0,大竹圍,Point,"121.41701, 25.15948",121.41701, 25.15948
Feature,15031.0,大竹圍,Point,"121.41688, 25.15939",121.41688, 25.15939
Feature,30104.0,大坪林,Point,"121.54183874602997, 24.981232663482",121.54183874602997, 24.981232663482
Feature,2854.0,大坪林,Point,"121.54161667724998, 24.98117991478703",121.54161667724998, 24.98117991478703
Feature,1001047.0,大坪頂,Point,"121.53009655993979, 24.96136396216287",121.53009655993979, 24.96136396216287
Feature,2855.0,大坪頂,Point,"121.53005011843919, 24.961045334146817",121.53005011843919, 24.961045334146817
Feature,18077.0,大度立德路口,Point,"121.47095010059569, 25.123118364817024",121.47095010059569, 25.123118364817024
Feature,2859.0,大茅埔,Point,"121.49490400916953, 24.95460554692675",121.49490400916953, 24.95460554692675
Feature,1000380.0,大茅埔,Point,"121.49489205350055, 24.954467243910415",121.49489205350055, 24.954467243910415
Feature,30032.0,大唐江山,Point,"121.43203482561785, 25.007803796191435",121.43203482561785, 25.007803796191435
Feature,3492.0,大唐江山,Point,"121.4316576862, 25.00783",121.4316576862, 25.00783
Feature,15027.0,大崁里,Point,"121.42185145766997, 25.159265086879994",121.42185145766997, 25.159265086879994
Feature,3783.0,大崁里,Point,"121.42202, 25.159",121.42202, 25.159
Feature,50409.0,大崁國小,Point,"121.41876, 25.1596",121.41876, 25.1596
Feature,3784.0,大崁國小,Point,"121.41863, 25.1598",121.41863, 25.1598
Feature,2556.0,大庭新村,Point,"121.45638, 25.01716",121.45638, 25.01716
Feature,6191.0,大庭新村,Point,"121.45641743319997, 25.017377499475984",121.45641743319997, 25.017377499475984
Feature,60076.0,大崎腳,Point,"121.56165218650997, 24.954144817953",121.56165218650997, 24.954144817953
Feature,2860.0,大崎腳,Point,"121.56110635581996, 24.95414490956396",121.56110635581996, 24.95414490956396
Feature,30004.0,大眾廟,Point,"121.45908544967341, 25.037946086180256",121.45908544967341, 25.037946086180256
Feature,3493.0,大眾廟,Point,"121.45738456535602, 25.03716447982497",121.45738456535602, 25.03716447982497
Feature,10444.0,大智街口,Point,"121.49149157539999, 25.07009520735697",121.49149157539999, 25.07009520735697
Feature,10442.0,大智街口,Point,"121.49245836573996, 25.067430354627977",121.49245836573996, 25.067430354627977
Feature,3405.0,大智街口,Point,"121.49237250792996, 25.067803311810014",121.49237250792996, 25.067803311810014
Feature,10470.0,大智街口,Point,"121.49217239020997, 25.070472537640985",121.49217239020997, 25.070472537640985
Feature,9653.0,大新街,Point,"121.51688964850928, 25.00861514371862",121.51688964850928, 25.00861514371862
Feature,2992.0,大新街,Point,"121.51672819262997, 25.00843234182401",121.51672819262997, 25.00843234182401
Feature,3184.0,大暖路口,Point,"121.42204, 24.96147",121.42204, 24.96147
Feature,10065.0,大暖路口,Point,"121.42238125396996, 24.961958086470958",121.42238125396996, 24.961958086470958
Feature,36019.0,大窠橋,Point,"121.43438, 25.06721",121.43438, 25.06721
Feature,3702.0,大窠橋,Point,"121.43428788517639, 25.06754032846674",121.43428788517639, 25.06754032846674
Feature,18019.0,大義路口,Point,"121.37868291533995, 24.944698368011036",121.37868291533995, 24.944698368011036
Feature,1001069.0,大漢橋,Point,"121.46443, 25.031518",121.46443, 25.031518
Feature,1001067.0,大漢橋,Point,"121.46477166136997, 25.03134769273104",121.46477166136997, 25.03134769273104
Feature,3789.0,大福社區,Point,"121.45128, 25.13036",121.45128, 25.13036
Feature,15005.0,大福社區,Point,"121.45155, 25.13021",121.45155, 25.13021
Feature,3645.0,大慶社區,Point,"121.4785, 25.08544",121.4785, 25.08544
Feature,15058.0,大慶社區,Point,"121.47842, 25.08526",121.47842, 25.08526
Feature,9602.0,大潤發,Point,"121.49953239020999, 25.003074861692962",121.49953239020999, 25.003074861692962
Feature,3057.0,大潤發,Point,"121.49939880489998, 25.00286513830001",121.49939880489998, 25.00286513830001
Feature,18001.0,大學風呂,Point,"121.37757061208997, 24.946752654785996",121.37757061208997, 24.946752654785996
Feature,3272.0,大學風呂,Point,"121.37729, 24.94671",121.37729, 24.94671
Feature,1175.0,大學路,Point,"121.37704, 24.94039",121.37704, 24.94039
Feature,10494.0,大學學成路口,Point,"121.37494, 24.94323",121.37494, 24.94323
Feature,18021.0,大學學成路口,Point,"121.37531093253996, 24.943105825027022",121.37531093253996, 24.943105825027022
Feature,7648.0,大樹木業,Point,"121.62996, 25.06242",121.62996, 25.06242
Feature,7649.0,大樹木業,Point,"121.63, 25.06244",121.63, 25.06244
Feature,60062.0,大豐國小,Point,"121.53871900858995, 24.977672471486002",121.53871900858995, 24.977672471486002
Feature,2862.0,大豐國小,Point,"121.53851933002997, 24.977694038876958",121.53851933002997, 24.977694038876958
Feature,1001237.0,大豐路,Point,"121.53848123809998, 24.97949645684598",121.53848123809998, 24.97949645684598
Feature,2863.0,大豐路,Point,"121.53865, 24.97901",121.53865, 24.97901
Feature,4697.0,大觀國小,Point,"121.4499, 25.00852",121.4499, 25.00852
Feature,4696.0,大觀國小,Point,"121.44981, 25.00837",121.44981, 25.00837
Feature,2558.0,大觀路28巷,Point,"121.44984542327997, 25.009449873405977",121.44984542327997, 25.009449873405977
Feature,6006.0,大觀路28巷,Point,"121.45004, 25.00961",121.45004, 25.00961
Feature,180707.0,小白宮,Point,"121.43575, 25.1733",121.43575, 25.1733
Feature,180708.0,小白宮,Point,"121.4358, 25.17344",121.4358, 25.17344
Feature,1001476.0,山佳,Point,"121.39366, 24.97239",121.39366, 24.97239
Feature,3314.0,山佳,Point,"121.39356784175996, 24.972263658142978",121.39356784175996, 24.972263658142978
Feature,13014.0,山佳國小,Point,"121.40264026025996, 24.976190315941984",121.40264026025996, 24.976190315941984
Feature,3315.0,山佳國小,Point,"121.40238686507998, 24.97623468738604",121.40238686507998, 24.97623468738604
Feature,4658.0,山海關,Point,"121.40614501222997, 25.152954229928973",121.40614501222997, 25.152954229928973
Feature,4659.0,山海關,Point,"121.40610939384997, 25.153103349529953",121.40610939384997, 25.153103349529953
Feature,36080.0,山腳里,Point,"121.42271250792996, 25.063725215948963",121.42271250792996, 25.063725215948963
Feature,3608.0,山腳里,Point,"121.42295, 25.06359",121.42295, 25.06359
Feature,7624.0,工建路,Point,"121.63590863593834, 25.061935344445036",121.63590863593834, 25.061935344445036
Feature,50622.0,工商展覽中心,Point,"121.44869078768997, 25.065054859236987",121.44869078768997, 25.065054859236987
Feature,26.0,工商展覽中心,Point,"121.44887749206995, 25.065015214209005",121.44887749206995, 25.065015214209005
Feature,1001174.0,工業區,Point,"121.41603185151999, 25.000971626461006",121.41603185151999, 25.000971626461006
Feature,1001161.0,工業區,Point,"121.41602555952998, 25.000495033161993",121.41602555952998, 25.000495033161993
Feature,3131.0,干城路口,Point,"121.46037629001995, 24.99242399515299",121.46037629001995, 24.99242399515299
Feature,3030.0,干城路口,Point,"121.46042279124995, 24.99244176206095",121.46042279124995, 24.99244176206095
Feature,50418.0,中山一路,Point,"121.47357, 25.08077",121.47357, 25.08077
Feature,3646.0,中山一路,Point,"121.47361, 25.080632",121.47361, 25.080632
Feature,4876.0,中山公園,Point,"121.47103151652998, 25.02129499507697",121.47103151652998, 25.02129499507697
Feature,3902.0,中山國中,Point,"121.46506, 25.01888",121.46506, 25.01888
Feature,2559.0,中山國中,Point,"121.46513, 25.0188",121.46513, 25.0188
Feature,3058.0,中山路,Point,"121.48954841797999, 25.003909910091966",121.48954841797999, 25.003909910091966
Feature,10050.0,中山路,Point,"121.48985004298997, 25.00397310318002",121.48985004298997, 25.00397310318002
Feature,10043.0,中山路口,Point,"121.51267265277997, 25.010755351539963",121.51267265277997, 25.010755351539963
Feature,4764.0,中山路口,Point,"121.47246361474997, 25.014393129286947",121.47246361474997, 25.014393129286947
Feature,1000747.0,中山路口,Point,"121.52561, 24.97519",121.52561, 24.97519
Feature,13026.0,中山路口,Point,"121.42459801717997, 24.993297517453946",121.42459801717997, 24.993297517453946
Feature,13027.0,中山路口,Point,"121.42436682208997, 24.993255330535035",121.42436682208997, 24.993255330535035
Feature,3059.0,中山路口,Point,"121.51308, 25.01056",121.51308, 25.01056
Feature,20355.0,中山路口,Point,"121.47272, 25.01446",121.47272, 25.01446
Feature,6007.0,中山實小,Point,"121.44620312134997, 25.002052168273973",121.44620312134997, 25.002052168273973
Feature,14502.0,中山實小,Point,"121.44663603438997, 25.002567715530972",121.44663603438997, 25.002567715530972
Feature,2606.0,中山漢生路口,Point,"121.4702, 25.01395",121.4702, 25.01395
Feature,6198.0,中山漢生路口,Point,"121.4699, 25.01395",121.4699, 25.01395
Feature,13215.0,中山藝術公園,Point,"121.49252142823997, 25.060432530472983",121.49252142823997, 25.060432530472983
Feature,1000083.0,中山藝術公園,Point,"121.49186832796015, 25.060279433252138",121.49186832796015, 25.060279433252138
Feature,1000376.0,中央印製廠,Point,"121.48837500538545, 24.951715581350335",121.48837500538545, 24.951715581350335
Feature,2866.0,中央印製廠,Point,"121.48865403954503, 24.951831551122503",121.48865403954503, 24.951831551122503
Feature,2867.0,中央新村,Point,"121.52988, 24.97344",121.52988, 24.97344
