Name,Longtitude,Latitude,Address,Area,St,Li,Lin,ZIP,Enrollment_Number
臺北市士林區雨農國民小學附設幼兒園,121.5301968,25.1050237,臺北市士林區名山里7鄰忠義街1號,士林區,忠義街,名山里,7鄰,111,128
臺北市士林區文昌國民小學附設幼兒園,121.5213325,25.0994096,臺北市士林區德華里10鄰文林路615巷20號,士林區,文林路,德華里,10鄰,111,106
臺北市士林區芝山國民小學附設幼兒園,121.5367085,25.1100804,臺北市士林區芝山里22鄰德行東路285號,士林區,德行東路,芝山里,22鄰,111,220
臺北市士林區蘭雅國民小學附設幼兒園,121.523121,25.108283,臺北市士林區蘭興里8鄰磺溪街57號,士林區,磺溪街,蘭興里,8鄰,111,166
臺北市士林區士東國民小學附設幼兒園,121.5268889,25.1129051,臺北市士林區天祿里15鄰中山北路6段392號,士林區,中山北路,天祿里,15鄰,111,90
臺北市士林區陽明山國民小學附設幼兒園,121.5527652,25.1198928,臺北市士林區新安里5鄰仰德大道三段61號,士林區,仰德大道,新安里,5鄰,111,76
臺北市士林區平等國民小學附設幼兒園,121.5767074,25.1288022,臺北市士林區平等里2鄰平菁街101號,士林區,平菁街,平等里,2鄰,111,30
臺北市士林區溪山國民小學附設幼兒園,121.5796194,25.1195861,臺北市士林區溪山里6鄰至善路三段199號,士林區,至善路,溪山里,6鄰,111,30
臺北市士林區雙溪國民小學附設幼兒園,121.5647875,25.1064871,臺北市士林區翠山里6鄰中社路二段66號,士林區,中社路,翠山里,6鄰,111,30
臺北市北投區文林國民小學附設幼兒園,121.5147455,25.1059061,臺北市北投區建民里15鄰文林北路155號,北投區,文林北路,建民里,15鄰,112,174
臺北市北投區明德國民小學附設幼兒園,121.5217958,25.112128,臺北市北投區榮華里13鄰明德路190號,北投區,明德路,榮華里,13鄰,112,120
臺北市立北投幼兒園,121.5226597,25.1131773,臺北市北投區榮華里13鄰明德路208巷5號,北投區,明德路,榮華里,13鄰,112,150
臺北市北投區石牌國民小學附設幼兒園,121.5117379,25.1157413,臺北市北投區吉利里1鄰致遠二路80號,北投區,致遠二路,吉利里,1鄰,112,210
臺北市北投區立農國民小學附設幼兒園,121.505032,25.119493,臺北市北投區立農里17鄰立農街一段250號,北投區,立農街,立農里,17鄰,112,128
臺北市北投區清江國民小學附設幼兒園,121.5074753,25.1268231,臺北市北投區奇岩里16鄰公館路220號,北投區,公館路,奇岩里,16鄰,112,120
臺北市北投區北投國民小學附設幼兒園,121.5002075,25.1341467,臺北市北投區大同里7鄰中央北路一段73號,北投區,中央北路,大同里,7鄰,112,204
臺北市北投區逸仙國民小學附設幼兒園,121.5051666,25.1383717,臺北市北投區中心里2鄰新民路2號,北投區,新民路,中心里,2鄰,112,166
臺北市北投區義方國民小學附設幼兒園,121.5092916,25.1419691,臺北市北投區開明里14鄰珠海路155號,北投區,珠海路,開明里,14鄰,112,90
臺北市北投區文化國民小學附設幼兒園,121.4965074,25.1371562,臺北市北投區文化里13鄰文化三路1號,北投區,文化三路,文化里,13鄰,112,60
臺北市北投區桃源國民小學附設幼兒園,121.4844614,25.1397049,臺北市北投區桃源里7鄰中央北路三段40巷45號,北投區,中央北路,桃源里,7鄰,112,60
臺北市北投區關渡國民小學附設幼兒園,121.4664641,25.1262613,臺北市北投區一德里20鄰中央北路四段581號,北投區,中央北路,一德里,20鄰,112,150
臺北市北投區泉源國民小學附設幼兒園,121.5240858,25.1493082,臺北市北投區泉源里12鄰東昇路34號,北投區,東昇路,泉源里,12鄰,112,30
臺北市北投區湖山國民小學附設幼兒園,121.535925,25.1500052,臺北市北投區湖山里14鄰湖底路11號,北投區,湖底路,湖山里,14鄰,112,30
臺北市北投區大屯國民小學附設幼兒園,121.5040167,25.1549141,臺北市北投區大屯里4鄰復興三路312號,北投區,復興三路,大屯里,4鄰,112,30
臺北市北投區湖田國民小學附設幼兒園,121.5367887,25.175496,臺北市北投區湖田里8鄰竹子湖路17之2號,北投區,竹子湖路,湖田里,8鄰,112,30
