Date,Area,value
2015-06-01,中山區,606274.607003436
2015-06-01,中正區,630796.874313559
2015-06-01,大同區,571355.872972451
2015-06-01,萬華區,483619.676025999
2015-06-01,文山區,466943.32618531
2015-06-01,南港區,522130.190404221
2015-06-01,內湖區,518992.538909758
2015-06-01,士林區,522540.507638069
2015-06-01,北投區,460023.921560102
2015-07-01,松山區,650131.466606205
2015-07-01,信義區,629639.930019444
2015-07-01,大安區,673912.586785809
2015-07-01,中山區,616598.342575118
2015-07-01,中正區,622574.354945076
2015-07-01,大同區,572108.188977284
2015-07-01,萬華區,498270.097642419
2015-07-01,文山區,440060.065813613
2015-07-01,南港區,506208.765277085
2015-07-01,內湖區,520259.003196098
2015-07-01,士林區,526874.500545729
2015-07-01,北投區,464888.807491774
2015-08-01,松山區,615752.396871239
2015-08-01,信義區,621905.680760119
2015-08-01,大安區,657442.768899048
2015-08-01,中山區,606955.028782049
2015-08-01,中正區,608863.50286529
2015-08-01,大同區,564939.698607309
2015-08-01,萬華區,476943.703613723
2015-08-01,文山區,449664.572590535
2015-08-01,南港區,500392.6306106
2015-08-01,內湖區,506889.628462788
2015-08-01,士林區,489272.151902173
2015-08-01,北投區,472994.989385885
2015-09-01,松山區,605450.590286717
2015-09-01,信義區,604426.569311843
2015-09-01,大安區,658824.422371462
2015-09-01,中山區,604631.919190054
2015-09-01,中正區,620701.624684799
2015-09-01,大同區,540256.213039003
2015-09-01,萬華區,476539.433102935
2015-09-01,文山區,452965.726285912
2015-09-01,南港區,505888.418468298
2015-09-01,內湖區,495263.856668559
2015-09-01,士林區,491695.112496379
2015-09-01,北投區,458303.207772381
2015-10-01,松山區,601471.92834782
2015-10-01,信義區,577978.798195394
2015-10-01,大安區,663803.072306941
2015-10-01,中山區,586683.731163202
2015-10-01,中正區,628578.451228976
2015-10-01,大同區,530574.660470876
2015-10-01,萬華區,454538.189087915
2015-10-01,文山區,449543.198051599
2015-10-01,南港區,503958.57159409
2015-10-01,內湖區,503603.484771304
2015-10-01,士林區,511716.912434301
2015-10-01,北投區,450976.319754313
2015-11-01,松山區,608491.405159134
2015-11-01,信義區,542686.810629119
2015-11-01,大安區,640741.133935556
2015-11-01,中山區,617039.978778345
2015-11-01,中正區,596805.993878582
2015-11-01,大同區,530991.127468607
2015-11-01,萬華區,482126.458484134
2015-11-01,文山區,434393.663724798
2015-11-01,南港區,452894.970727345
2015-11-01,內湖區,491511.567387048
2015-11-01,士林區,484853.152177242
2015-11-01,北投區,435518.01710448
2015-12-01,松山區,616080.672952576
2015-12-01,信義區,583584.45747775
2015-12-01,大安區,632329.261542618
2015-12-01,中山區,597748.963855889
2015-12-01,中正區,586124.148382224
2015-12-01,大同區,505777.794151036
2015-12-01,萬華區,459852.70299572
2015-12-01,文山區,430717.60333651
2015-12-01,南港區,470990.770805625
2015-12-01,內湖區,500938.80682201
2015-12-01,士林區,515829.222396719
2015-12-01,北投區,468060.108556313
2016-01-01,松山區,635314.400066769
2016-01-01,信義區,616156.873861742
2016-01-01,大安區,676785.935118378
2016-01-01,中山區,639043.75278531
2016-01-01,中正區,658631.666475275
2016-01-01,大同區,539516.928368015
2016-01-01,萬華區,479512.953189814
2016-01-01,文山區,450795.338659253
2016-01-01,南港區,446691.111561751
2016-01-01,內湖區,499831.146160173
2016-01-01,士林區,509436.218329756
2016-01-01,北投區,435162.030335321
2016-02-01,松山區,647989.693645834
2016-02-01,信義區,584985.1822236
2016-02-01,大安區,685363.229767873
2016-02-01,中山區,639733.219932863
2016-02-01,中正區,631736.456474799
2016-02-01,大同區,527103.814349054
